item_name,monthly_usage_base_units
latex gloves,65000.0
yellow bin liners 30 x 36,5200.0
black bin liners 30 x 36,1580.0
syringes  20cc,11250.0
syringes 10 cc,15000.0
syringes 2cc,20000.0
jik 5ltrs 4-6%,175.0
cannula g24,1500.0
cannula 16,200.0
cannula g22,2200.0
surgicell 10 x 20cm,4.0
nylon sutures 3/0 rc,12.0
vicryl sutures 3/0 rb,12.0
vicryl sutures 3/0 rc,12.0
vicryl sutures 2  rb,40.0
vicryl sutures 2 rc,12.0
vicryl sutures 1 rb,20.0
vicryl sutures  4/0 rb,4.0
silk sutures 1 rb,4.0
steranios (glutaraldehyde 2%) 5ltrs,6.0
endozyme,17.0
