item_name,current_stock,unit,estimated_monthly_usage,calculated_mos,actual_monthly_usage
vicryl sutures  4/0 rc 40mm,8.0,dozens,1.0,8.0,
silk sutures 2/0 rc (35 mm),4.0,dozens,1.0,4.0,
silk sutures 2/0 rb 40mm,5.0,dozens,1.0,5.0,
silk sutures 2 rb 40mm,4.0,dozens,1.0,4.0,
folleys catheter 3 way - sz 22,3.0,Pcs,1.0,3.0,
tracheostomy 5.0 cuffed,10.0,pcs,1.0,10.0,
tracheostomy 7.0 cuffed,5.0,pcs,1.0,5.0,
chest drainage catheter with trocar sz14,7.0,pcs,1.0,7.0,
endotracheal tube 3.0 cuffed,39.0,pcs,1.0,39.0,
endotracheal tube 5.5 cuffed,18.0,pcs,1.0,18.0,
endotracheal tube 2.5 cuffed,17.0,pcs,1.0,17.0,
endotracheal tube 6.5 cuffed,136.0,pcs,1.0,136.0,
evodrill perforators adult,6.0,pcs,1.0,6.0,
elastic tape,3.0,pcs,1.0,3.0,
mva kit,3.0,pcs,1.0,3.0,
silicon catheter sz 16 2way,29.0,pcs,1.0,29.0,
silicon catheter sz 8 2way,9.0,pcs,1.0,9.0,
sterile gauze swabs 10 x 10 cm,25.0,pkts of 25,1.0,25.0,
disposable speculum (m),900.0,pcs,1.0,900.0,
disposable speculum (l),400.0,pcs,1.0,400.0,
hme bacteria adult,65.0,pcs,1.0,65.0,
