item_name,stock_base_units,monthly_usage_base_units,months_of_supply,data_quality_v2
latex gloves,0.0,65000.0,0.0,STOCKOUT (ORDER NOW)
sterile surgical gloves 6.5,700.0,20000.0,0.0,CRITICAL LOW (<1 month)
sterile surgical gloves 7.5,487.0,12200.0,0.0,CRITICAL LOW (<1 month)
red bin liners 30 x 36,701.0,5200.0,0.1,CRITICAL LOW (<1 month)
yellow bin liners 30 x 36,0.0,5200.0,0.0,STOCKOUT (ORDER NOW)
black bin liners 30 x 36,0.0,1580.0,0.0,STOCKOUT (ORDER NOW)
syringes  20cc,0.0,11250.0,0.0,STOCKOUT (ORDER NOW)
syringes 10 cc,0.0,15000.0,0.0,STOCKOUT (ORDER NOW)
syringes 5 cc,2600.0,21000.0,0.1,CRITICAL LOW (<1 month)
syringes 2cc,0.0,20000.0,0.0,STOCKOUT (ORDER NOW)
cotton wool 400gms,7.0,170.0,0.0,CRITICAL LOW (<1 month)
jik 5ltrs 4-6%,0.0,175.0,0.0,STOCKOUT (ORDER NOW)
cannula g18,1500.0,2200.0,0.7,CRITICAL LOW (<1 month)
cannula g24,0.0,1500.0,0.0,STOCKOUT (ORDER NOW)
cannula 16,0.0,200.0,0.0,STOCKOUT (ORDER NOW)
cannula g 26,800.0,700.0,1.1,LOW STOCK (1-3 months)
cannula g22,0.0,2200.0,0.0,STOCKOUT (ORDER NOW)
surgicell 10 x 20cm,0.0,4.0,0.0,STOCKOUT (ORDER NOW)
nylon sutures 3/0 rc,0.0,12.0,0.0,STOCKOUT (ORDER NOW)
vicryl sutures 3/0 rb,0.0,12.0,0.0,STOCKOUT (ORDER NOW)
vicryl sutures 3/0 rc,0.0,12.0,0.0,STOCKOUT (ORDER NOW)
vicryl sutures 2  rb,0.0,40.0,0.0,STOCKOUT (ORDER NOW)
vicryl sutures 2 rc,0.0,12.0,0.0,STOCKOUT (ORDER NOW)
vicryl sutures 1 rb,0.0,20.0,0.0,STOCKOUT (ORDER NOW)
vicryl sutures  4/0 rb,0.0,4.0,0.0,STOCKOUT (ORDER NOW)
silk sutures 1 rb,0.0,4.0,0.0,STOCKOUT (ORDER NOW)
steranios (glutaraldehyde 2%) 5ltrs,0.0,6.0,0.0,STOCKOUT (ORDER NOW)
endozyme,0.0,17.0,0.0,STOCKOUT (ORDER NOW)
